ts_receiver	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z
1734657858.208305	0.976	-0.123	-0.079	-0.42	0.91	1.54
1734657858.2583048	0.9866500992234011	-0.11153066237479882	-0.05606132474959763	1.9312142131662422	1.8848936981421005	0.909186430613935
1734657858.3083048	0.9860560407956594	-0.11685055787824145	-0.04511208159131891	1.8088711066102818	1.8252304742615493	0.5868203161743661
1734657858.358305	0.9822786060949323	-0.12692371708018038	-0.03755721218986473	0.9862297717852702	1.472669902193687	0.35177993479579145
1734657858.408305	0.9819703806020806	-0.1310296193979194	-0.03513457898558732	0.8233227185186356	1.202530565772649	0.21
1734657858.458305	0.9869362479675439	-0.12606375203245615	-0.04051426863150583	1.663381947842834	1.0576927676133046	0.21
1734657858.5083048	0.9919021153330071	-0.12109788466699291	-0.045893958277424346	2.5034411771670335	0.9128549694539598	0.21
1734657858.5583048	0.9900946513804832	-0.11963903670034517	-0.0443668440404142	1.7769140383884627	1.3482301824888554	0.19094651380483238
1734657858.608305	0.988150990296301	-0.11825070735450079	-0.04270084882540094	1.0188862155574294	1.7952722318507466	0.17150990296301102
1734657858.658305	0.986207329212119	-0.11686237800865641	-0.04103485361038768	0.2608583927263961	2.242314281212638	0.15207329212118964
1734657858.708305	0.9846803913444016	-0.11663921731119685	-0.036164696132818946	1.266591988864707	2.117293093945989	0.1623726058918895
1734657858.7583048	0.9848107079076791	-0.11378431888006837	-0.02670286734771335	4.035452946652229	1.3961989284900986	0.3234991070750821
1734657858.8083048	0.9889999680384817	-0.09200016619989529	-0.02000005113842932	2.100014766221466	2.0999946304649217	0.9099955253874346
1734657858.858305	0.9868540116715337	-0.11545568927528474	-0.013708023343067578	1.93182385160615	1.8581017507300681	1.0258395331386485
1734657858.908305	0.9856846227621993	-0.11796152265243014	-0.011369245524398539	1.5459255115257586	1.6826934143298902	1.0726150895120292
1734657858.958305	0.9845152338528648	-0.12046735602957553	-0.009030467705729503	1.160027171445368	1.5072850779297124	1.11939064588541
1734657859.0083048	0.9833458449435302	-0.12297318940672093	-0.006691689887060464	0.7741288313649766	1.3318767415295347	1.1661662022587906
1734657859.0583048	0.9821764560341957	-0.12547902278386633	-0.004352912068391425	0.38823049128458487	1.1564684051293568	1.2129417586321716
1734657859.108305	0.9810070671248612	-0.12798485616101174	-0.0020141342497223894	0.002332151204194499	0.9810600687291793	1.2597173150055523
1734657859.158305	0.981	-0.12910286777748237	-0.0032407262496676695	0.009650093052970765	0.7097973945168186	1.2020994416821755
1734657859.208305	0.981	-0.13021244118880296	-0.004488996337403326	0.01935886040202587	0.4379519087432756	1.1438468375878448
1734657859.2583048	0.981	-0.13132201460012355	-0.005737266425138985	0.029067627751080998	0.1661064229697321	1.085594233493514
1734657859.3083048	0.981	-0.13243158801144414	-0.006985536512874644	0.03877639510013613	-0.10573906280381151	1.0273416293991833
1734657859.358305	0.981	-0.13354116142276473	-0.008233806600610304	0.04848516244919126	-0.377584548577355	0.9690890253048525
1734657859.408305	0.981	-0.13465073483408532	-0.009482076688345963	0.058193929798246384	-0.6494300343508987	0.9108364212105218
1734657859.458305	0.981	-0.1357603082454059	-0.010730346776081616	0.06790269714730147	-0.9212755201244409	0.8525838171161912
1734657859.5083048	0.9796411221835354	-0.135	-0.022743551126585826	2.843020156081162	-1.5615100780405808	0.6928299739864731
1734657859.5583048	0.9804804194180974	-0.135	-0.022407832232761035	2.3495133821587215	-1.3147566910793609	0.7750811029735465
