ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734600904.0319295,-0.985,0.180,0.189,-5.390,0.280,-0.560,72.000
1734600904.0914137,-0.978,0.213,0.194,-2.730,-0.420,-1.610,63.000
1734600904.092416,-0.981,0.179,0.201,-5.530,-0.280,-0.700,68.000
1734600904.0934155,-0.984,0.166,0.197,-13.510,0.490,2.030,72.000
1734600904.1520655,-0.976,0.210,0.203,-2.240,-0.630,-1.680,67.000
1734600904.1530025,-0.974,0.216,0.204,-6.650,0.770,-2.030,64.000
1734600904.1545138,-0.981,0.249,0.149,-5.250,-0.980,-3.290,60.000
1734600904.1565845,-0.980,0.244,0.152,-1.400,-1.750,-4.550,65.000
1734600904.2122474,-0.991,0.184,0.183,-4.550,-3.080,-4.130,71.000
1734600904.213252,-0.987,0.229,0.175,-4.480,-3.570,-4.550,68.000
1734600904.2152607,-0.986,0.232,0.170,-0.140,-4.480,-5.810,69.000
1734600904.2718503,-0.984,0.197,0.181,9.590,-5.670,-7.770,73.000
1734600904.2728558,-0.984,0.174,0.196,12.460,-6.860,-7.490,65.000
1734600904.274487,-0.984,0.171,0.200,12.460,-7.000,-7.420,67.000
1734600904.3930576,-0.985,0.159,0.224,9.730,-6.720,-6.370,73.000
1734600904.3950574,-0.982,0.203,0.222,4.060,-5.670,-5.810,63.000
1734600904.3960571,-0.989,0.198,0.223,4.550,-5.040,-5.950,68.000
1734600904.3972998,-0.977,0.165,0.223,0.910,-4.480,-5.110,73.000
1734600904.4551556,-0.981,0.154,0.224,-8.960,-3.360,-2.870,68.000
1734600904.5714478,-0.980,0.172,0.222,-9.450,-2.940,-2.100,58.000
1734600904.573456,-0.983,0.175,0.220,-9.240,-2.730,-2.240,65.000
1734600904.574455,-0.981,0.165,0.224,-10.920,-2.240,-2.030,71.000
1734600904.5759294,-0.983,0.164,0.226,-13.650,-2.030,-1.190,66.000
1734600904.692009,-0.985,0.159,0.224,-15.540,-1.680,-0.910,69.000
1734600904.6940172,-0.984,0.173,0.260,-13.020,1.330,-1.750,56.000
1734600904.695017,-0.983,0.178,0.254,-12.460,1.820,-2.380,62.000
1734600904.6960142,-0.981,0.163,0.245,-12.180,2.800,-2.870,70.000
1734600904.7517776,-0.984,0.159,0.234,-11.830,3.710,-3.220,68.000
1734600904.753913,-0.990,0.141,0.187,-7.910,2.520,-3.290,59.000
1734600904.755451,-0.989,0.133,0.179,-7.070,1.820,-3.290,64.000
1734600904.8124602,-0.993,0.140,0.181,-4.270,0.420,-3.290,70.000
1734600904.8134632,-0.988,0.131,0.202,-3.780,-0.770,-3.010,63.000
1734600904.8718781,-0.986,0.135,0.205,-5.390,-0.980,-2.590,68.000
1734600904.8729396,-0.989,0.135,0.213,-6.440,-0.980,-2.310,70.000
1734600904.8748777,-0.988,0.137,0.205,-6.860,-1.330,-2.170,67.000
1734600904.8760931,-0.990,0.143,0.202,-5.250,-1.610,-2.450,69.000
1734600904.9323733,-0.988,0.149,0.207,0.560,-2.800,-3.710,72.000
1734600904.9343755,-0.981,0.130,0.218,2.660,-3.430,-3.710,63.000
1734600904.990984,-0.985,0.140,0.222,1.820,-3.430,-3.640,68.000
1734600905.1119537,-0.989,0.149,0.226,2.030,-3.360,-4.270,73.000
1734600905.1129558,-0.991,0.131,0.226,0.420,-2.940,-3.920,66.000
