ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657858.208305,0.976,-0.123,-0.079,-0.420,0.910,1.540,71.000
1734657858.2693372,0.989,-0.109,-0.051,2.450,2.100,0.770,68.000
1734657858.3884656,0.980,-0.133,-0.033,0.490,1.260,0.210,67.000
1734657858.5092905,0.992,-0.121,-0.046,2.520,0.910,0.210,71.000
1734657858.689363,0.985,-0.116,-0.040,-0.210,2.520,0.140,71.000
1734657858.7486289,0.984,-0.118,-0.028,4.410,1.260,0.210,68.000
1734657858.8083053,0.989,-0.092,-0.020,2.100,2.100,0.910,70.000
1734657858.8093054,0.988,-0.113,-0.016,2.310,2.030,0.980,68.000
1734657859.108607,0.981,-0.128,-0.002,0.000,0.980,1.260,68.000
1734657859.469106,0.981,-0.136,-0.011,0.070,-0.980,0.840,68.000
1734657859.470111,0.979,-0.135,-0.023,3.220,-1.750,0.630,69.000
1734657859.7679791,0.984,-0.135,-0.021,0.280,-0.280,1.120,70.000
1734657859.8275082,0.987,-0.134,-0.023,2.310,-0.420,0.910,72.000
1734657859.828508,0.985,-0.137,-0.020,0.770,-1.890,0.700,68.000
1734657860.008903,0.984,-0.145,-0.019,-0.140,-2.170,1.890,68.000
1734657860.0693107,0.985,-0.141,-0.030,-0.840,-2.380,1.960,71.000
1734657860.2484474,0.987,-0.134,-0.003,3.220,-3.430,3.570,68.000
1734657860.308043,0.987,-0.144,-0.011,2.380,-6.370,4.970,71.000
1734657860.3101175,0.984,-0.147,-0.047,-1.890,-7.210,6.160,68.000
1734657860.369822,0.968,-0.185,-0.038,0.350,-9.660,6.580,70.000
1734657860.4285364,0.969,-0.188,-0.066,0.420,-10.290,6.860,71.000
1734657860.4873915,0.959,-0.209,-0.087,4.550,-12.810,5.110,69.000
1734657861.6889632,0.982,-0.204,-0.058,-11.900,-9.380,3.920,71.000
1734657862.4697196,0.963,-0.238,-0.128,-17.150,-8.050,3.010,67.000
1734657862.6480417,0.956,-0.228,-0.152,7.000,-11.200,-2.030,78.000
1734657862.829084,0.969,-0.224,-0.184,25.970,-10.360,-5.250,75.000
1734657862.9494445,0.956,-0.207,-0.149,30.940,-6.440,-4.340,72.000
1734657863.0688276,0.491,-0.184,-0.858,-5.810,-49.980,-6.860,71.000
1734657863.1286907,0.020,-0.073,-0.871,6.860,-12.390,-6.020,70.000
1734657863.1883066,0.004,-0.042,-1.062,-12.040,-23.310,-5.740,67.000
1734657863.2479668,-0.051,-0.078,-0.877,-8.890,-12.460,-8.190,69.000
1734657864.3281376,0.036,0.062,-0.876,6.300,23.100,6.580,67.000
1734657864.3888085,0.011,-0.002,-0.954,6.790,12.810,5.320,70.000
1734657864.3897676,0.002,-0.040,-0.931,7.560,10.570,-1.540,70.000
1734657864.567985,0.023,-0.029,-0.859,11.200,27.930,1.820,73.000
1734657864.8670678,0.071,-0.075,-0.879,9.310,44.240,6.230,70.000
1734657864.869065,0.811,-0.133,-0.475,-26.530,45.150,8.190,69.000
1734657864.988799,0.875,-0.189,-0.403,-5.810,52.430,10.290,71.000
1734657865.049296,0.892,-0.168,-0.349,-11.130,54.040,9.730,72.000
1734657865.1691687,0.946,-0.225,-0.300,-12.740,47.810,8.680,68.000
1734657865.2893083,0.948,-0.199,-0.066,1.470,14.210,1.400,67.000
1734657865.4689956,0.913,-0.186,-0.078,-6.090,-3.850,-0.840,71.000
