ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657858.1504931,0.993,0.016,0.217,-3.990,-1.820,-0.350,0.000
1734657858.15148,0.992,-0.004,0.227,-2.520,-0.980,-1.750,8.000
1734657858.2097366,0.988,-0.009,0.219,-1.750,-0.350,-1.330,0.000
1734657858.2718399,0.983,-0.017,0.208,1.890,0.070,-0.350,7.000
1734657858.2728372,0.993,-0.002,0.179,2.310,-1.750,-1.610,127.000
1734657858.3316953,0.987,0.014,0.182,-3.360,-1.050,-2.030,92.000
1734657858.3916628,0.995,0.002,0.192,-2.870,0.700,-2.380,0.000
1734657858.3926694,0.990,0.002,0.200,-0.910,1.400,-2.310,14.000
1734657858.3945749,0.975,0.011,0.186,4.690,-1.400,-1.120,173.000
1734657858.395473,0.988,0.030,0.196,1.050,-1.680,-2.520,20.000
1734657858.4518108,0.966,0.021,0.201,-2.520,-0.140,-1.680,0.000
1734657858.5112407,0.976,0.007,0.214,-0.140,-0.630,-0.840,6.000
1734657858.6903617,0.979,0.015,0.210,-1.260,-1.120,-1.260,11.000
1734657858.6914036,0.980,0.010,0.210,-1.610,-1.120,-1.330,0.000
1734657858.693866,0.982,0.011,0.211,-1.050,-1.960,-0.280,0.000
1734657858.6949346,0.987,0.022,0.225,-0.420,-1.820,-0.630,0.000
1734657858.7511268,0.982,0.019,0.219,-0.910,-1.470,-0.700,0.000
1734657858.7521853,0.988,0.011,0.223,-3.010,-0.770,-1.050,183.000
1734657858.7547114,0.982,0.004,0.222,-2.940,-0.700,-1.050,136.000
1734657858.9909458,0.986,0.001,0.214,-0.840,-0.980,-0.630,71.000
1734657858.9928963,0.987,-0.008,0.208,0.070,-0.840,-0.770,117.000
1734657858.9939625,0.983,-0.007,0.203,1.190,-0.560,-0.630,0.000
1734657858.9948795,0.975,0.004,0.201,1.190,-1.260,-0.700,1.000
1734657859.0548086,0.983,0.005,0.209,-0.560,-0.910,-0.770,2.000
1734657859.171372,0.976,0.001,0.227,-0.560,-2.030,0.630,144.000
1734657859.1723733,0.982,-0.000,0.235,-0.420,-1.400,0.700,3.000
1734657859.231564,0.978,0.002,0.226,0.770,-1.820,0.770,0.000
1734657859.2346263,0.986,0.020,0.227,-0.840,-1.610,-0.770,119.000
1734657859.411356,0.989,0.011,0.220,-0.910,-0.770,-0.770,131.000
1734657859.5313945,0.975,-0.002,0.217,0.280,-2.170,0.140,13.000
1734657859.5324001,0.979,-0.002,0.211,1.050,-2.590,0.700,0.000
1734657859.5912364,0.988,0.006,0.225,1.190,-1.680,0.210,142.000
1734657859.592242,0.983,0.001,0.230,1.680,-1.750,0.350,0.000
1734657859.6507432,0.971,0.003,0.203,1.960,-3.220,1.120,8.000
1734657859.6517525,0.981,0.000,0.222,-0.840,-2.310,0.420,88.000
1734657859.6537511,0.976,-0.004,0.211,-0.840,-2.170,0.910,166.000
