ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734600918.7307825,-0.975,0.215,0.229,12.880,-6.860,-0.140,70.000
1734600918.8555758,-0.971,0.205,0.213,7.420,-1.890,-1.680,61.000
1734600918.8566053,-0.982,0.218,0.221,9.100,-3.430,-0.700,62.000
1734600918.8566053,-0.973,0.245,0.218,9.240,-0.420,-1.890,63.000
1734600918.8566053,-0.976,0.211,0.200,10.500,0.000,-3.290,64.000
1734600918.9722817,-0.987,0.220,0.207,-2.100,-0.070,-2.170,61.000
1734600919.0312762,-0.982,0.177,0.174,4.200,-0.700,-2.310,55.000
1734600919.0336142,-0.981,0.167,0.174,7.000,-1.400,-2.380,63.000
1734600919.0346138,-0.985,0.175,0.193,5.600,-1.960,-1.960,69.000
1734600919.0913787,-0.980,0.202,0.210,5.530,-2.310,-2.030,68.000
1734600919.2117283,-0.980,0.194,0.183,7.980,-2.240,-2.380,65.000
1734600919.212729,-0.982,0.165,0.205,5.040,-2.800,-1.120,58.000
1734600919.2718766,-0.982,0.180,0.202,3.850,-2.800,-0.980,65.000
1734600919.2729275,-0.985,0.213,0.196,8.540,-3.710,-2.380,69.000
1734600919.2742138,-0.986,0.158,0.212,5.390,-3.150,-1.400,69.000
1734600919.3324444,-0.983,0.191,0.219,-6.510,0.000,0.070,56.000
1734600919.3344517,-0.978,0.165,0.219,-9.520,0.420,0.770,70.000
1734600919.6313589,-0.978,0.201,0.210,-10.360,0.840,0.630,64.000
1734600919.6323578,-0.977,0.197,0.200,-8.400,0.140,0.070,67.000
1734600919.6916704,-0.983,0.178,0.200,-3.290,-0.070,-0.770,70.000
1734600919.8179047,-0.985,0.175,0.209,-0.420,-0.420,-1.190,63.000
1734600919.8190944,-0.982,0.159,0.210,-17.710,-0.420,-0.350,69.000
1734600919.8190944,-0.995,0.175,0.217,-5.250,-1.400,-0.910,57.000
1734600919.93284,-0.979,0.210,0.204,-2.310,-1.400,-2.730,66.000
1734600920.350591,-0.988,0.159,0.203,-2.380,-1.680,-2.380,66.000
1734600920.4722648,-0.985,0.133,0.241,7.490,-5.250,-4.970,55.000
1734600920.4742734,-0.986,0.117,0.253,3.010,-4.550,-3.920,62.000
1734600920.475323,-0.985,0.153,0.243,-4.480,-3.360,-2.590,71.000
1734600920.4772737,-0.985,0.158,0.230,-8.470,-0.560,-2.730,63.000
1734600920.5325985,-0.993,0.133,0.229,1.960,-18.060,-2.870,63.000
1734600920.5330067,-0.976,0.146,0.327,13.440,-29.680,-1.190,56.000
1734600920.5350115,-0.971,0.141,0.344,17.220,-29.050,-1.610,61.000
1734600920.5925934,-0.887,0.109,0.472,22.400,-34.860,-0.980,73.000
1734600920.6530445,-0.900,0.231,0.517,19.880,-42.490,1.120,68.000
1734600920.655102,-0.887,0.271,0.529,23.170,-48.020,2.170,70.000
1734600920.6561666,-0.832,0.262,0.566,30.940,-58.170,3.710,74.000
1734600920.658096,-0.859,0.162,0.601,24.220,-71.400,8.820,64.000
1734600920.7121677,-0.833,0.177,0.605,15.190,-78.610,12.670,69.000
1734600920.8914704,-0.880,0.156,0.631,6.160,-87.640,14.770,62.000
1734600921.0110822,-0.887,0.157,0.640,5.600,-89.810,16.170,67.000
1734600921.072427,-0.896,0.134,0.653,-3.990,-93.940,19.180,71.000
1734600921.0734277,-0.919,0.198,0.665,-5.810,-101.080,23.310,65.000
1734600921.1324673,-0.900,0.213,0.671,-7.770,-118.860,24.640,74.000
1734600921.1334639,-0.544,0.260,0.942,0.560,-163.450,41.930,62.000
1734600921.1344638,-0.261,0.170,0.741,0.490,-88.970,32.900,62.000
1734600921.1364639,-0.262,0.198,0.750,-14.560,-45.150,23.240,58.000
1734600921.1919005,-0.355,0.119,0.712,-14.490,-13.160,15.680,69.000
1734600921.1929057,-0.341,0.143,0.749,-20.160,22.540,7.000,63.000
1734600921.1945536,-0.337,0.127,0.741,-21.280,34.090,4.340,67.000
1734600921.251832,-0.358,0.175,0.769,-17.990,54.810,-3.430,71.000
