ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657947.9105902,0.954,0.104,0.331,-6.370,-2.100,-0.210,271.000
1734657947.91259,0.958,0.106,0.345,-3.780,-1.540,1.470,246.000
1734657947.9135895,0.940,0.101,0.346,-5.040,-3.640,0.910,134.000
1734657947.971714,0.960,0.074,0.328,-8.190,-3.710,0.210,0.000
1734657947.9727645,0.933,0.078,0.353,-8.680,-4.410,-0.700,0.000
1734657947.9743242,0.939,0.079,0.360,-7.210,-4.200,0.280,60.000
1734657948.0314746,0.958,0.076,0.368,-5.600,-1.540,0.980,11.000
1734657948.0914743,0.950,0.039,0.379,-2.590,0.630,2.030,234.000
1734657948.0924747,0.929,0.047,0.364,0.560,-1.890,3.640,93.000
1734657948.0934744,0.959,0.091,0.335,4.340,-1.470,3.850,24.000
1734657948.0955305,0.931,0.110,0.344,1.610,-3.920,3.220,0.000
1734657948.1518607,0.948,0.096,0.351,-0.210,0.070,3.080,169.000
1734657948.1528573,0.947,0.123,0.344,-2.520,1.400,2.100,151.000
1734657948.1538515,0.954,0.111,0.335,-3.710,1.190,1.610,0.000
1734657948.2109487,0.946,0.093,0.315,-5.180,0.630,1.120,20.000
1734657948.2119465,0.946,0.074,0.333,-3.850,-0.350,3.640,116.000
1734657948.2139473,0.943,0.080,0.337,-2.450,-0.700,4.480,30.000
1734657948.2712786,0.947,0.080,0.343,-3.290,-0.770,3.920,25.000
1734657948.2732854,0.949,0.074,0.350,-4.690,-0.630,2.590,100.000
1734657948.2742848,0.941,0.080,0.346,-5.600,-1.260,2.310,271.000
1734657948.3306813,0.939,0.077,0.348,-6.370,-0.840,2.730,0.000
1734657948.3327358,0.946,0.061,0.355,-7.700,-0.070,2.590,223.000
1734657948.33469,0.951,0.051,0.359,-8.750,2.660,2.800,0.000
1734657948.3913333,0.920,0.051,0.370,-9.170,2.310,2.660,0.000
1734657948.3923318,0.939,0.047,0.357,-7.280,3.080,2.030,0.000
1734657948.3943057,0.931,0.047,0.343,-5.110,2.520,3.080,2.000
1734657948.4576123,0.952,0.042,0.329,-2.170,1.540,3.640,17.000
1734657948.4576123,0.961,0.072,0.352,-6.790,0.210,2.800,204.000
1734657948.4576123,0.955,0.065,0.360,-7.770,-0.280,2.310,47.000
1734657948.510629,0.939,0.020,0.352,-8.190,-0.700,2.240,0.000
1734657948.5715451,0.918,0.023,0.359,-7.490,-2.590,1.610,209.000
1734657948.5715451,0.910,0.032,0.361,-8.330,-3.710,1.190,56.000
1734657948.573255,0.908,0.046,0.382,-11.830,-4.410,-0.210,0.000
1734657948.5753434,0.966,0.028,0.379,-10.990,-1.540,-2.380,33.000
1734657948.6314712,0.942,0.035,0.381,-5.320,0.140,-1.190,49.000
1734657948.6324763,0.928,0.027,0.363,-1.890,-2.730,2.940,103.000
1734657948.8710718,0.935,0.032,0.363,-2.170,-3.080,3.010,26.000
1734657948.9909713,0.976,0.039,0.364,-4.130,-1.050,-0.140,17.000
1734657948.9919724,0.966,0.058,0.363,-6.860,3.360,-2.030,192.000
1734657948.9939735,0.960,0.066,0.361,-8.400,4.480,-2.170,0.000
1734657948.9950356,0.959,0.065,0.378,-9.800,4.830,0.350,0.000
1734657949.0503032,0.925,-0.007,0.372,9.520,2.520,1.260,0.000
1734657949.051365,0.902,-0.016,0.418,2.520,5.460,3.290,156.000
1734657949.0534186,0.903,0.000,0.423,4.200,4.900,4.270,21.000
1734657949.1105785,0.929,0.000,0.414,6.370,1.470,7.280,36.000
