ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657948.808456,0.967,-0.086,-0.169,1.680,-1.190,-0.140,68.000
1734657949.4677753,0.962,-0.093,-0.168,1.330,-0.770,0.140,67.000
1734657949.5875008,0.972,-0.085,-0.170,0.140,-0.700,0.070,67.000
1734657949.647797,0.961,-0.087,-0.180,0.770,-0.910,0.000,70.000
1734657949.708107,0.968,-0.060,-0.177,-2.590,-2.170,-0.140,69.000
1734657949.8286436,0.949,-0.148,-0.206,-3.920,-4.480,3.360,71.000
1734657950.0684497,0.750,-0.127,-0.603,-2.590,-54.810,-10.500,68.000
1734657950.1281157,0.702,-0.127,-0.650,19.530,-40.180,-12.950,68.000
1734657950.1889617,0.647,-0.113,-0.686,5.880,-35.420,-10.290,71.000
1734657950.248883,0.616,-0.104,-0.715,20.090,-34.020,-10.570,70.000
1734657950.3082142,0.554,-0.091,-0.740,5.740,-33.250,-10.500,68.000
1734657950.368042,0.391,-0.062,-0.856,-4.830,-43.960,-13.160,68.000
1734657950.4277294,0.378,-0.020,-0.887,-3.780,-45.780,-10.220,70.000
1734657950.5487607,0.331,-0.017,-0.860,-2.800,-40.390,-5.250,71.000
1734657951.089633,0.281,0.014,-0.886,-19.460,-35.350,1.260,72.000
1734657951.1488988,0.263,-0.021,-0.948,-21.630,-38.710,-2.730,71.000
1734657951.3870695,0.242,0.024,-0.959,-16.030,-42.280,-7.420,70.000
1734657951.5733426,0.203,0.041,-0.967,-15.400,-44.660,-13.090,72.000
1734657951.628989,0.091,0.130,-0.945,-39.690,-47.110,-15.470,69.000
1734657951.8092492,-0.387,0.180,-0.802,-8.540,-23.380,-7.840,69.000
1734657951.987993,-0.408,0.130,-0.854,-17.500,-17.990,-3.080,71.000
1734657952.167702,-0.495,0.200,-0.835,-1.610,-30.170,-13.020,68.000
1734657952.949833,-0.560,0.262,-0.802,2.450,-37.940,-19.670,67.000
1734657953.2479498,-0.626,0.204,-0.668,2.730,-42.910,-14.630,71.000
1734657953.6684904,-0.661,0.092,-0.727,-17.640,-24.500,-12.250,68.000
1734657953.7290823,-0.693,0.167,-0.566,-6.650,-10.360,-6.930,67.000
1734657954.0284538,-0.656,0.102,-0.655,6.300,19.390,10.500,68.000
1734657954.0894916,-0.536,0.150,-0.771,5.880,23.520,7.000,69.000
1734657954.1475806,-0.421,0.154,-0.839,12.670,28.420,8.330,67.000
1734657954.2083194,-0.278,0.067,-0.870,21.700,23.940,1.820,69.000
1734657954.2683775,-0.219,0.063,-0.874,33.670,37.310,2.520,70.000
1734657954.388003,-0.042,-0.058,-0.922,21.420,40.040,2.100,68.000
1734657954.5074756,-0.005,-0.053,-0.934,14.420,49.630,2.800,72.000
1734657954.5672743,0.075,-0.061,-0.944,9.800,52.640,1.890,72.000
1734657954.6300085,0.142,-0.091,-0.959,24.290,53.550,-0.630,71.000
1734657954.6300085,0.210,-0.027,-0.917,4.270,47.880,-2.730,72.000
1734657954.7480297,0.219,-0.050,-0.935,-7.000,33.950,4.620,67.000
1734657954.7491038,0.284,-0.054,-0.942,-4.690,18.970,11.690,67.000
1734657954.9280612,0.311,-0.057,-0.915,-11.970,14.910,9.590,71.000
1734657954.9888601,0.320,-0.084,-0.886,-2.730,11.900,4.970,71.000
1734657955.3482416,0.348,-0.048,-0.857,-5.530,14.210,2.660,72.000
1734657955.5881643,0.414,-0.051,-0.848,7.980,21.700,1.260,72.000
1734657955.6473696,0.447,-0.051,-0.824,6.370,28.490,2.450,71.000
1734657955.7683413,0.484,-0.085,-0.803,4.060,32.830,1.470,69.000
1734657955.9486558,0.502,-0.048,-0.792,6.720,33.950,3.290,71.000
1734657956.0685325,0.681,-0.119,-0.679,16.800,25.340,0.910,68.000
1734657956.1882222,0.754,-0.108,-0.559,-0.140,43.330,9.590,69.000
1734657956.189225,0.780,-0.109,-0.537,-3.010,46.550,11.620,70.000
1734657956.5491235,0.827,-0.130,-0.478,-4.830,50.260,11.480,68.000
1734657956.7887483,0.904,-0.138,-0.344,-24.640,53.480,13.370,68.000
1734657957.0273979,0.926,-0.154,-0.269,-16.170,42.140,10.920,68.000
1734657957.088411,0.927,-0.141,-0.216,4.970,5.950,-4.200,67.000
1734657957.1469393,0.947,-0.214,-0.171,-3.290,-0.490,-3.780,69.000
1734657957.1493423,0.965,-0.121,-0.113,-3.360,0.980,-4.340,68.000
1734657957.5684807,0.968,-0.103,-0.193,-5.390,-5.110,-1.680,68.000
1734657957.7489474,0.956,-0.107,-0.163,3.710,2.870,1.820,67.000
1734657958.407952,0.959,-0.096,-0.154,7.910,1.680,2.590,72.000
1734657958.7079544,0.971,-0.127,-0.152,6.720,-0.070,4.340,70.000
1734657958.8879404,0.962,-0.132,-0.159,8.820,-0.910,5.390,71.000
1734657958.9484856,0.943,-0.194,-0.231,8.050,-23.380,1.330,67.000
1734657959.0080292,0.931,-0.185,-0.279,21.910,-48.090,-3.850,68.000
1734657959.0090835,0.508,-0.081,-0.811,-1.400,-54.390,-17.780,69.000
1734657959.2484133,0.274,-0.033,-0.905,-14.840,-39.830,-10.010,68.000
1734657959.3089652,0.149,-0.032,-0.956,-7.980,-21.560,-13.440,68.000
1734657959.367946,0.100,0.035,-0.956,-14.700,-23.730,-18.270,71.000
1734657959.668483,0.092,0.056,-0.971,-0.630,-31.220,-18.130,70.000
1734657959.669494,0.031,0.102,-0.992,-15.820,-40.250,-16.380,71.000
1734657959.8517356,-0.105,0.077,-0.930,-4.270,-43.330,-7.350,68.000
1734657960.027569,-0.117,0.089,-0.959,-13.020,-44.240,-10.360,70.000
1734657960.0891654,-0.111,0.083,-0.929,-4.760,-43.680,-15.540,72.000
1734657960.1487188,-0.328,0.135,-0.949,-5.880,-39.690,-15.610,68.000
