ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657973.2312891,0.944,0.026,0.334,1.470,-13.230,13.790,10.000
1734657973.2322903,0.977,0.129,0.317,8.190,-9.730,8.470,82.000
1734657973.2339253,0.978,0.148,0.315,6.230,-7.210,6.580,0.000
1734657973.2911599,0.958,0.131,0.302,1.890,-4.830,5.250,6.000
1734657973.292165,0.937,0.089,0.325,1.960,-3.990,7.490,94.000
1734657973.2931674,0.954,0.089,0.352,1.820,-1.260,7.070,16.000
1734657973.3503518,0.963,0.095,0.341,0.700,0.210,2.730,224.000
1734657973.3516796,0.946,0.088,0.289,-0.910,2.170,-0.420,143.000
1734657973.353685,0.953,0.085,0.280,1.190,2.310,-0.770,0.000
1734657973.4713326,0.976,0.071,0.272,0.980,1.960,0.000,6.000
1734657973.4723318,0.985,0.043,0.291,-0.630,3.500,2.870,233.000
1734657973.475332,0.960,0.035,0.265,-0.490,1.260,4.060,209.000
1734657973.4763315,0.926,0.030,0.273,-1.610,-2.730,3.220,153.000
1734657973.531222,0.974,0.061,0.295,-1.190,1.120,-1.050,0.000
1734657973.5322208,0.948,0.054,0.299,-5.040,2.310,1.540,105.000
1734657973.5342212,0.945,0.052,0.297,-2.380,2.240,2.660,21.000
1734657973.5913482,0.945,0.063,0.321,1.050,-1.330,2.590,217.000
1734657973.5923483,1.002,0.085,0.325,3.640,2.800,-0.840,175.000
1734657973.5933483,0.979,0.088,0.295,3.780,4.200,-2.310,0.000
1734657973.6507983,0.946,0.034,0.306,-3.080,7.910,-0.700,203.000
1734657973.709731,0.934,0.075,0.310,-0.280,0.560,1.260,128.000
1734657973.7112448,0.946,0.083,0.304,-0.840,-0.980,0.630,0.000
1734657973.7122493,0.993,0.072,0.290,-0.770,2.170,-1.470,207.000
1734657973.714967,0.985,0.068,0.278,-1.820,6.650,-1.820,208.000
1734657973.8304777,0.923,0.036,0.308,-4.760,0.420,0.070,38.000
1734657973.8314815,0.991,0.034,0.285,0.490,1.050,1.750,135.000
1734657973.8326497,0.968,0.049,0.284,0.910,0.560,0.770,182.000
1734657973.8346636,0.950,0.041,0.301,-6.300,0.980,0.700,256.000
1734657973.8912215,0.971,0.053,0.339,1.050,-1.400,1.890,182.000
1734657973.8930018,0.940,0.044,0.322,-5.180,3.360,1.120,0.000
1734657974.0114744,0.936,0.039,0.335,-2.450,2.380,1.470,172.000
1734657974.0124633,0.964,0.043,0.332,2.730,2.870,1.960,111.000
1734657974.014022,0.964,0.052,0.324,5.880,7.840,2.660,149.000
1734657974.0153072,0.957,-0.034,0.374,2.450,4.130,0.280,0.000
1734657974.0716717,0.989,0.070,0.353,6.300,9.520,1.190,18.000
1734657974.0726767,0.929,0.075,0.303,5.810,6.020,2.520,292.000
1734657974.0733738,0.952,0.082,0.296,4.410,6.160,1.890,43.000
1734657974.1316652,0.990,0.081,0.296,3.990,8.890,0.840,5.000
1734657974.1899614,0.950,0.054,0.307,-2.520,7.980,1.190,161.000
1734657974.1919613,0.945,0.039,0.318,-4.410,7.630,2.240,253.000
1734657974.1929612,0.944,0.054,0.327,-1.890,4.760,4.130,241.000
1734657974.2501106,0.968,0.084,0.343,-2.520,6.230,3.850,284.000
1734657974.2511668,0.961,0.082,0.312,-4.270,6.510,3.080,20.000
1734657974.2523859,0.950,0.026,0.344,-9.030,1.470,3.360,226.000
1734657974.2544572,0.950,0.017,0.356,-11.830,1.540,3.360,17.000
1734657974.3122637,0.935,-0.019,0.391,-16.590,2.660,3.780,0.000
1734657974.3132634,0.929,-0.023,0.413,-5.740,1.750,6.370,269.000
1734657974.3132634,0.940,-0.005,0.428,-0.280,3.290,6.510,191.000
1734657974.3710237,0.960,0.024,0.388,4.690,4.410,5.180,221.000
1734657974.3724864,0.964,0.000,0.367,4.900,2.030,5.670,136.000
1734657974.3740897,0.983,-0.007,0.399,5.950,2.730,5.880,0.000
1734657974.4313004,0.971,0.026,0.425,6.090,0.350,6.370,183.000
1734657974.4313004,0.941,0.018,0.438,0.630,1.540,6.930,129.000
1734657974.4337878,0.926,0.008,0.431,0.630,1.330,7.070,7.000
1734657974.5509095,0.966,-0.038,0.389,7.350,0.420,4.340,0.000
1734657974.552911,0.915,0.048,0.415,-4.200,-1.540,-1.400,95.000
1734657974.6109362,0.929,0.043,0.411,-8.610,-0.770,-2.170,0.000
1734657974.6710067,0.909,0.043,0.439,-15.260,5.950,-4.480,254.000
1734657974.67196,0.915,0.037,0.453,-5.740,8.610,-1.470,47.000
1734657974.6729605,0.936,0.037,0.392,-2.310,9.590,-1.750,234.000
1734657974.6749592,0.885,0.008,0.411,2.870,6.300,1.400,0.000
1734657974.731816,0.921,-0.068,0.337,5.040,-1.750,8.190,29.000
1734657974.732814,0.960,-0.039,0.345,1.330,-11.340,11.200,249.000
1734657974.7348144,0.903,-0.032,0.305,-3.080,-9.940,13.860,12.000
1734657974.7919044,0.915,-0.076,0.317,-4.200,-9.870,14.210,4.000
1734657974.7929037,0.929,-0.089,0.357,-0.770,-16.730,15.750,301.000
1734657974.7941701,0.930,-0.106,0.337,-2.940,-15.890,13.790,251.000
1734657974.8513145,0.941,-0.047,0.336,-5.600,-18.900,14.490,242.000
1734657974.852314,0.880,-0.020,0.387,-12.320,-22.680,11.900,225.000
1734657974.853313,0.946,-0.044,0.366,-14.630,-23.310,13.020,0.000
1734657974.9112616,0.954,-0.047,0.362,-9.800,-22.190,10.220,176.000
1734657974.9132867,0.922,-0.043,0.330,-6.860,-20.790,10.080,174.000
1734657974.9138494,0.975,-0.057,0.349,-6.230,-21.420,9.310,28.000
1734657974.9717824,0.945,-0.026,0.343,-6.790,-22.610,11.900,0.000
1734657974.9717824,0.895,0.002,0.327,-10.640,-24.290,13.790,189.000
