ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657973.347741,0.972,-0.029,-0.154,-3.570,3.220,2.870,66.000
1734657973.40752,0.994,-0.030,-0.150,3.710,1.540,2.870,78.000
1734657973.5292847,0.976,0.016,-0.159,1.960,2.030,5.460,75.000
1734657973.6488616,0.973,-0.040,-0.175,0.070,7.140,8.260,67.000
1734657973.7079654,0.976,-0.072,-0.085,9.170,4.690,4.760,67.000
1734657973.7085412,0.969,-0.094,-0.144,1.120,-1.820,3.010,69.000
1734657973.8902228,0.976,-0.105,-0.117,4.760,-1.750,2.450,71.000
1734657974.00897,0.979,-0.099,-0.109,1.820,-3.850,1.400,69.000
1734657974.1278617,0.979,-0.081,-0.144,-0.700,-3.920,2.100,68.000
1734657974.187957,0.980,-0.072,-0.152,-0.910,-1.610,2.450,72.000
1734657974.3680208,0.970,-0.075,-0.119,1.750,-2.030,2.030,71.000
1734657974.3690221,0.977,-0.075,-0.134,-0.560,-4.760,2.240,68.000
1734657974.6080046,0.974,-0.073,-0.164,1.400,-6.580,4.410,67.000
1734657974.6680038,0.971,-0.102,-0.180,5.110,-4.130,9.380,68.000
1734657975.329106,0.981,-0.133,-0.184,4.690,-2.030,10.570,70.000
1734657975.507952,0.978,-0.185,-0.129,-13.090,3.290,9.310,67.000
1734657975.56881,0.956,-0.162,-0.149,-15.120,-0.700,6.510,71.000
1734657975.7485201,0.904,-0.164,-0.375,31.430,-65.240,-7.140,67.000
1734657975.7514431,0.855,-0.176,-0.379,56.700,-75.600,-7.700,71.000
1734657975.809003,0.529,-0.175,-0.759,-5.530,-24.290,-3.500,70.000
1734657975.868351,0.462,-0.147,-0.813,-16.310,-27.090,-2.870,68.000
1734657975.9274268,0.429,-0.101,-0.825,-13.720,-27.930,-4.410,70.000
1734657975.9887228,0.334,-0.091,-0.894,-5.110,-31.430,-19.880,68.000
1734657976.0492961,0.318,-0.067,-0.887,0.140,-28.070,-17.150,65.000
1734657976.1088595,0.312,-0.082,-0.864,-4.200,-23.730,-14.070,77.000
1734657976.1701086,0.305,-0.103,-0.860,-0.350,-15.820,-12.670,76.000
1734657976.228358,0.311,-0.072,-0.838,4.760,-1.470,-6.160,71.000
1734657976.347232,0.352,-0.058,-0.850,12.810,11.410,-1.050,70.000
1734657976.6478815,0.351,-0.104,-0.861,26.950,14.700,2.730,71.000
1734657976.6488814,0.355,-0.070,-0.829,19.740,26.250,8.120,71.000
1734657977.0687068,0.357,-0.110,-0.849,4.130,37.030,9.870,71.000
1734657977.1872833,0.390,-0.122,-0.845,2.310,40.530,11.760,71.000
1734657977.2476635,0.472,-0.114,-0.819,-1.120,48.300,11.970,68.000
1734657977.4914148,0.719,-0.131,-0.621,4.270,52.430,5.180,69.000
1734657977.7888832,0.795,-0.127,-0.503,2.380,54.530,3.570,71.000
1734657978.0279124,0.878,-0.126,-0.350,-24.150,32.970,10.500,68.000
1734657978.4479368,0.911,-0.136,-0.304,-31.710,32.620,6.930,68.000
1734657978.7487597,0.932,-0.189,-0.285,-16.310,29.890,4.550,70.000
1734657978.808054,0.931,-0.294,-0.251,3.920,-6.160,-2.660,68.000
1734657978.9274733,0.974,-0.136,-0.066,3.430,1.050,-2.870,68.000
1734657979.408485,0.980,-0.121,-0.108,-1.680,-3.360,-0.490,67.000
1734657979.5868864,0.953,-0.139,-0.112,9.800,-7.840,1.960,69.000
1734657979.648603,0.938,-0.154,-0.236,13.020,-43.190,0.140,68.000
1734657979.707354,0.925,-0.179,-0.290,14.070,-59.780,-5.460,68.000
1734657979.7681036,0.882,-0.137,-0.416,-8.050,-74.130,-2.870,67.000
1734657979.828776,0.596,-0.131,-0.733,0.770,-49.280,-5.880,69.000
1734657979.828776,0.395,-0.152,-0.859,-2.800,-58.240,-7.840,67.000
1734657979.8874426,0.365,-0.116,-0.849,-9.730,-55.230,-9.030,70.000
1734657979.949337,0.331,-0.070,-0.892,-14.350,-52.780,-9.100,72.000
